web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988511-16006","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","45309","Essen/Ruhr","Essen/Ruhr-Schonnebeck","","Nordrhein-Westfalen"
"1632988501-15577","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","56235","Ransbach-Baumbach","","Westerwaldkreis","Rheinland-Pfalz"
"1632988511-15968","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","44793","Bochum","Bochum-Hamme","","Nordrhein-Westfalen"
"1632988485-14924","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","67146671576743567466","Deidesheim","","Kreis Bad Dürkheim","Rheinland-Pfalz"
"1632988423-10872","https://home.meinestadt.de/deutschland/plz-0","","04613","Lucka","","Kreis Altenburger Land","Thüringen"
"1632988485-14569","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","63329","Egelsbach","","Kreis Offenbach","Hessen"
"1632988423-10844","https://home.meinestadt.de/deutschland/plz-0","","04329","Leipzig","Leipzig-Paunsdorf","","Sachsen"
"1632988538-17605","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25587","Münsterdorf","","Kreis Steinburg","Schleswig-Holstein"
"1632988440-11801","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","93499","Zandt","","Kreis Cham","Bayern"
"1632988473-13862","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","7334573349","Drackenstein","","Kreis Göppingen","Baden-Württemberg"
"1632988538-17868","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","28329","Bremen","Bremen-Vahr","","Bremen"
"1632988511-16175","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","48612","Horstmar","","Kreis Steinfurt","Nordrhein-Westfalen"
"1632988538-17930","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","29479","Jameln","","Kreis Lüchow-Dannenberg","Niedersachsen"
"1632988546-18172","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","10969","Berlin","Berlin-Kreuzberg","",""
"1632988440-11767","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","93356","Teugn","","Kreis Kelheim","Bayern"
"1632988538-17783","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","26939","Ovelgönne","","Kreis Wesermarsch","Niedersachsen"
"1632988546-18199","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","12621","Berlin","Berlin-Kaulsdorf","",""
"1632988522-16578","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","34632","Jesberg","","Schwalm-Eder-Kreis","Hessen"
"1632988538-17549","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25358","Hohenfelde b. Elmshorn","","Kreis Steinburg","Schleswig-Holstein"
"1632988440-11716","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","93096","Köfering","","Kreis Regensburg","Bayern"
"1632988485-15044","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","67729","Sippersfeld","","Donnersbergkreis","Rheinland-Pfalz"
