web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18834","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Seesener Tageszeitung – Beobachter","Seesen","Druckerei und Verlag H. Hofmann GmbH & Co. KG"
"1632990151-18710","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Neubrandenburger Zeitung","Neubrandenburg","Kurierverlags GmbH & Co. KG"
"1632990151-18699","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Münsterländer, Der","Cloppenburg","Nordwest-Zeitung Verlagsgesellschaft mbH & Co. KG"
"1632990151-18479","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bietigheimer Zeitung","Bietigheim-Bissingen","Druck- und Verlagsgesellschaft Bietigheim mbH"
"1632990151-18754","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ostfriesen-Zeitung","Leer","ZGO Zeitungsgruppe Ostfriesland GmbH"
"1632990151-18516","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Delmenhorster Kurier","Delmenhorst","Bremer Tageszeitungen AG"
"1632990151-18694","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Mosbacher Nachrichten","Mosbach","Rhein-Neckar-Zeitung GmbH"
"1632990151-18635","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Iserlohner Kreisanzeiger und Zeitung","Iserlohn","Zeitungsverlag Iserlohn Iserlohner Kreisanzeiger und Zeitung (IKZ) Wichelhoven Verlags-GmbH & Co. KG"
"1632990151-18619","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hinterländer Anzeiger","Biedenkopf","Wetzlardruck GmbH"
"1632990151-18893","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Walsroder Zeitung","Walsrode","J. Gronemann KG"
"1632990151-18477","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bersenbrücker Kreisblatt","Bersenbrück","Neue Osnabrücker Zeitung GmbH & Co. KG"
"1632990151-18932","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Zeitung für den Altkreis Lübbecke","Lübbecke","Neue Westfälische GmbH & Co. KG"
"1632990151-18691","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Mittelhaardter Rundschau","Neustadt an der Weinstraße","Rheinpfalz Verlag und Druckerei GmbH und Co. KG"
"1632990151-18625","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Holsteinischer Courier","Neumünster","Schleswig-Holsteinischer Zeitungsverlag"
"1632990151-18678","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Märkische Oderzeitung","Frankfurt (Oder)","Märkisches Verlags- und Druckhaus GmbH & Co. KG"
"1632990151-18462","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Backnanger Kreiszeitung","Backnang","Stroh. Druck- und Medien GmbH"
"1632990151-18582","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Gießener Allgemeine","Gießen","Mittelhessische Druck- und Verlagsges. mbH"
"1632990151-18748","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Oldenburger Kreiszeitung","Oldenburg (Oldenburg)","Nordwest-Zeitung Verlagsgesellschaft mbH & Co. KG"
"1632990151-18660","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Leonberger Kreiszeitung","Leonberg","Stuttgarter Zeitung Verlagsgesellschaft mbH"
"1632990151-18568","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Freies Wort","Suhl","Suhler Verlagsgesellschaft mbH & Co.KG"
"1632990151-18675","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Marbacher Zeitung/Bottwartal Bote","Marbach am Neckar","Adolf Remppis Verlag GmbH + Co. KG"
"1632990151-18788","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Reichenhaller Tagblatt/Freilassinger Anzeiger","Bad Reichenhall","BGL-Medien und Druck GmbH & Co. KG"
"1632990151-18820","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Schongauer Nachrichten","Schongau","Münchener Zeitungs-Verlag GmbH & Co. KG"
"1632990151-18752","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Osterholzer Kreisblatt","Osterholz","Bremer Tageszeitungen AG"
"1632990151-18433","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Acher- und Bühler Bote","Achern/Bühl (Baden)","Badische Neueste Nachrichten Badendruck GmbH"
"1632990151-18741","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Oberbayerisches Volksblatt","Rosenheim","Oberbayerisches Volksblatt GmbH & Co. Medienhaus KG"
"1632990151-18866","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Tagesspiegel, Der","Berlin","Verlag Der Tagesspiegel GmbH"
"1632990151-18904","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wertheimer Zeitung","Wertheim","Verlag und Druckerei Main-Echo GmbH & Co. KG"
"1632990151-18608","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Heidenheimer Zeitung","Heidenheim an der Brenz","Heidenheimer Zeitung GmbH & Co.KG"
"1632990151-18921","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wilhelmshavener Zeitung","Wilhelmshaven","Brune-Mettcker Druck- und Verlagsgesellschaft mbH"
"1632990151-18557","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Frankenberger Zeitung","Frankenberg (Eder)","Wilhelm Bing Druckerei und Verlag GmbH"
"1632990151-18478","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bielefelder Tageblatt","Bielefeld","Neue Westfälische GmbH & Co. KG"
"1632990151-18819","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Schlitzer Bote","Schlitz","Verlag Parzeller GmbH & Co. KG"
"1632990151-18491","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bramscher Nachrichten","Bramsche","Neue Osnabrücker Zeitung GmbH & Co. KG"
"1632990151-18600","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Handelsblatt","Düsseldorf","Verlagsgruppe Handelsblatt GmbH"
"1632990151-18647","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kreiszeitung Böblinger Bote","Böblingen","Kreiszeitung Böblinger Bote Wilhelm Schlecht GmbH & Co. KG"
"1632990151-18510","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dahme Kurier","Königs Wusterhausen","Märkische Verlags- und Druck-Gesellschaft mbH Potsdam"
"1632990151-18537","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Eckernförder Nachrichten","Eckernförde","Kieler Zeitung Verlags- und Druckerei KG GmbH"
"1632990151-18847","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Starnberger Merkur","Starnberg","Münchener Zeitungs-Verlag GmbH & Co. KG"
"1632990151-18559","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Frankenthaler Zeitung","Frankenthal (Pfalz)","Medien-Union GmbH"
"1632990151-18622","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hohenloher Tagblatt","Crailsheim","Hohenloher Druck- und Verlagshaus"
"1632990151-18522","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dingolfinger Anzeiger","Straubing","Cl. Attenkofer'sche Buch- und Kunstdruckerei KG"
"1632990151-18859","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Südwest-Presse","Ulm","Neue Pressegesellschaft mbH & Co. KG"
"1632990151-18777","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pirmasenser Rundschau","Pirmasens","Rheinpfalz Verlag und Druckerei GmbH und Co. KG"
"1632990151-18441","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Alb Bote","Münsingen","Verlag Baader GmbH"
"1632990151-18879","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Trostberger Tagblatt","Trostberg","Alois Erdl KG"
"1632990151-18632","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ipf- u. Jagst-Zeitung/Aalener Nachrichten","Ellwangen/Aalen","Schwäbischer Verlag GmbH & Co. KG"
"1632990151-18722","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Neumarkter Nachrichten","Neumarkt in der Oberpfalz","Nürnberger Presse Druckhaus Nürnberg GmbH & Co."
"1632990151-18858","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Südthüringer Zeitung","Bad Salzungen","Südthüringer Verlag GmbH"
"1632990151-18652","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Landauer Zeitung","Landau an der Isar","Cl. Attenkofer'sche Buch- und Kunstdruckerei KG"
"1632990151-18906","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Weser-Kurier","Bremen","Bremer Tageszeitungen AG"
"1632990151-18495","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bremervörder Zeitung","Bremervörde","Bremervörder Zeitung Verlagsgesellschaft Borgardt GmbH & Co. KG"
"1632990151-18774","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pforzheimer Zeitung","Pforzheim","J. Esslinger GmbH + Co. KG"
"1632990151-18642","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kölnische Rundschau","Köln","M. DuMont Schauberg Expedition der Kölnischen Zeitung GmbH & Co. KG"
"1632990151-18737","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Nürnberger Nachrichten","Nürnberg","Nürnberger Presse Druckhaus Nürnberg GmbH & Co."
"1632990151-18434","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Acher-Rench-Zeitung","Achern","Acher-Rench-Verlag GmbH & Co. KG"
"1632990151-18814","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Schaumburg-Lippische Landes-Zeitung","Bückeburg","C. Bösendahl GmbH & Co. KG"
"1632990151-18868","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Täglicher Anzeiger Holzminden","Holzminden","Druck- und Verlagshaus Hüpke & Sohn Weserland-Verlag GmbH"
"1632990151-18470","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bayerwald-Bote","Regen/Viechtach","Neue Presse Verlags-GmbH"
"1632990151-18797","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Rhein-Zeitung","Koblenz","Mittelrhein-Verlag GmbH"
"1632990151-18778","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pirmasenser Zeitung","Pirmasens","Adolf Deil GmbH & Co. KG"
"1632990151-18721","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Neues Granseer Tageblatt","Gransee","Märkische Verlags- und Druck-Gesellschaft mbH Potsdam"
