web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18889","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Vilshofener Anzeiger","Vilshofen","Neue Presse Verlags-GmbH"
"1632990151-18588","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Göttinger Tageblatt","Göttingen","Göttinger Tageblatt GmbH & Co. KG"
"1632990151-18586","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Gmünder Tagespost","Schwäbisch Gmünd","SDZ Druck und Medien GmbH & Co. KG"
"1632990151-18493","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Braunschweiger Zeitung","Braunschweig","Braunschweiger Zeitungsverlag GmbH und Co. KG"
"1632990151-18512","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dattelner Morgenpost","Datteln","Verlag J. Bauer KG"
"1632990151-18639","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kieler Nachrichten","Kiel","Kieler Zeitung Verlags- und Druckerei KG GmbH"
"1632990151-18929","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wümme Zeitung","Lilienthal","Bremer Tageszeitungen AG"
"1632990151-18589","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Grafschafter Nachrichten","Nordhorn","Grafschafter Nachrichten GmbH & Co. KG"
"1632990151-18649","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kyritzer Tageblatt","Kyritz","Märkische Verlags- und Druck-Gesellschaft mbH Potsdam"
"1632990151-18865","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Tagespost, Die","Würzburg","Johann Wilhelm Naumann Verlag GmbH"
"1632990151-18453","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Altmühl-Bote","Gunzenhausen","Nürnberger Presse Druckhaus Nürnberg GmbH & Co."
"1632990151-18527","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Donau-Post","Wörth an der Donau","Cl. Attenkofer'sche Buch- und Kunstdruckerei KG"
"1632990151-18503","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Cannstatter Zeitung","Bad Cannstatt","Rotenberg Verlag GmbH"
"1632990151-18661","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Lindauer Zeitung","Lindau","Schwäbischer Verlag GmbH & Co. KG"
"1632990151-18692","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Mittelschwäbische Nachrichten","Krumbach (Schwaben)","Mediengruppe Pressedruck"
"1632990151-18927","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wolfsburger Allgemeine Zeitung","Wolfsburg","Madsack Medien Ostniedersachsen GmbH & Co. KG"
"1632990151-18482","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bleckeder Zeitung","Bleckede","Bleckeder Zeitung – bz-druck"
"1632990151-18454","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Alt-Neuöttinger/Burghauser Anzeiger","Altötting","Neue Presse Verlags-GmbH"
