web-scraper-order,web-scraper-start-url,pagination,name,street,zip-code,city
"1632986543-1064","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Friedensstr. 1","99423","Weimar"
"1632986543-896","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Arnold","Baeckerstr. 14","97230","Estenfeld"
"1632986652-7413","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Lange","Ringstr. 37","38855","Wernigerode"
"1632986543-392","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Friedrich-Viehbacher-Allee 3","93055","Regensburg"
"1632986598-4483","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Huck","Karlsruher Str. 27b","76448","Durmersheim"
"1632986567-2328","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","EDEKA Fanderl","Geisenfelder Str. 42","85053","Ingolstadt-Kothau-Ringsee"
"1632986589-3966","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Strecker","Talstr. 65","79102","Freiburg"
"1632986674-8826","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Veddeler","Andelstr. 1","26434","Horumersiel"
"1632986604-4697","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6","EDEKA Brand","Bergstr. 97-99","69469","Weinheim"
"1632986624-5981","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5#","EDEKA Damm","Froebelstr. 15 - 17","58099","Hagen - Helfe"
"1632986578-3206","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Schnalke","Tauberfelder Str. 16","85114","Buxheim"
"1632986643-6696","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA Patzer","Sonnenplatz 11","44137","Dortmund"
"1632986652-7472","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Hohenwarsleben","Berliner Allee 2a","39326","Hohenwarsleben"
"1632986634-6410","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Sorgi","Uerdinger Str. 39-41","47441","Moers"
"1632986604-4699","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6","EDEKA Graulich","Sudetenstr. 64","64385","Reichelsheim"
"1632986674-8947","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","Frischemarkt Hansen","Kirchenstr. 8","25876","Schwabstedt"
"1632986643-7084","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA Fenderl","Steinfurter Str. 3","48268","Greven-Reckenfeld"
"1632986567-2487","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","EDEKA","Schellenbruckplatz 16","84307","Eggenfelden"
"1632986578-3266","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Helmschrott","Römerstr. 13","89438","Holzheim"
"1632986578-3138","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Rogoll","Schardthof 4","84051","Essenbach"
"1632986567-2538","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","EDEKA Baidinger","Schreiäcker 2","89429","Bachhagel"
"1632986685-9391","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA","Elbgaustr. 4–6","22547","Hamburg"
"1632986685-9540","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","Frischemarkt Szymanski","Dorfstr. 1","25599","Wewelsfleth"
"1632986624-5825","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5#","EDEKA Klein-Hessling","Birker Str. 2","53797","Lohmar - Birk"
"1632986598-4549","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","ECENTER OFFENBURG","Wilhelm-Röntgen-Str. 1","77656","Offenburg"
"1632986634-6500","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Kutsche","Waterloostr. 2","49191","Belm"
"1632986610-5132","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA","Gernsheimer Str. 20","64521","Groß-Gerau"
"1632986578-3211","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Bauer","Im Straßfeld 1","85128","Nassenfels"
"1632986610-5199","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA Haller","Kerbeplatz 2","65375","Oestrich-Winkel"
"1632986543-549","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Welter","Chamer Str. 2","93468","Miltach"
"1632986674-8924","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Johannsen","Ostpreußenplatz 3","24161","Altenholz-Stift"
"1632986685-9410","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","Meyer`s Frischecenter","Krähenweg 19","22459","Hamburg"
"1632986530-293","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA","Siedlungsweg 2 A","01917","Kamenz"
"1632986553-1812","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9#","Lucas Günther e.K.","Lyonel-Feiniger-Str. 22","99425","Weimar"
"1632986701-10335","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1#","EDEKA Alt-Rudow","Alt-Rudow 72-74","12355","Berlin"
"1632986553-1695","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9#","EDEKA Hattel","Gewerbepark 7","96279","Weidhausen"
"1632986652-7564","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","Edeka Schenke Exp. GmbH","Hauptbahnhof","33330","Gütersloh"
"1632986624-5806","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5#","EDEKA Brouwer","Heisterbacher Straße. 48","53639","Königswinter"
"1632986578-2800","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA","Räterstr. 24","85551","Kirchheim Bei München"
"1632986530-154","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA Fiedler","Am Goldenen Löwen 14","09627","Niederbobritzsch"
"1632986661-8070","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3#","EDEKA in Asemissen","Hauptstr. 275-277","33818","Leopoldshöhe-Asemissen"
"1632986674-8573","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA","Osterstr 86","20259","Hamburg"
"1632986634-6276","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Müller","Josef-Kohtes-Str. 22","40670","Meerbusch-Strümp"
"1632986694-9898","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1","EDEKA Trabener Straße","Trabener Str. 2","14193","Berlin-Grunewald-Grunewald"
"1632986589-3705","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Rentschler","Stuttgarter Str. 30","72184","Eutingen im Gäu"
"1632986634-6214","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Nüsken","Am Moselbach","45731","Waltrop"
"1632986685-9307","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","E center Gillert","Wandsbeker Chaussee 248","22089","Hamburg-Eilbek-Eilbek"
"1632986652-7592","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Beki Schnellkauf","Bemeroder Rathausplatz 7a","30539","Hannover"
"1632986598-4516","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Thiem","Hauptstr. 41","77723","Gengenbach"
